"","gender","ADGGRU","zip","residenceBeforeEnrolment","ageAtEnrolment","priop","UDD_KODE","kvotient","kvote","land","Campus","MAT_Niveau","MATGrade","ENG_Niveau","ENGGrade","DAN_Niveau","DANGrade","enrolID","startaar","startsn","Uddannelse","startramme","Ramme_kode","startstudordna","Studieordningskode","startfak","slutramme","slutsn","slutfak","NU","Norm tid","Norm+1 aar","statussn","udmeldsn","fradatosn","slutdatosn","stype","yearOfEnrolment","EndSemester","SPV","1_T_atnBy","1_T_atpIn","1_NT_atnBy","1_NT_atpIn","1_El_atnBy","1_El_atpIn","1_Pr_atnBy","1_Pr_atpIn","2_T_atnBy","2_T_atpIn","2_NT_atnBy","2_NT_atpIn","2_El_atnBy","2_El_atpIn","2_Pr_atnBy","2_Pr_atpIn","3_T_atnBy","3_T_atpIn","3_NT_atnBy","3_NT_atpIn","3_El_atnBy","3_El_atpIn","3_Pr_atnBy","3_Pr_atpIn","4_T_atnBy","4_T_atpIn","4_NT_atnBy","4_NT_atpIn","4_El_atnBy","4_El_atpIn","4_Pr_atnBy","4_Pr_atpIn","5_T_atnBy","5_T_atpIn","5_NT_atnBy","5_NT_atpIn","5_El_atnBy","5_El_atpIn","5_Pr_atnBy","5_Pr_atpIn","6_T_atnBy","6_T_atpIn","6_NT_atnBy","6_NT_atpIn","6_El_atnBy","6_El_atpIn","6_Pr_atnBy","6_Pr_atpIn","7_T_atnBy","7_T_atpIn","7_NT_atnBy","7_NT_atpIn","7_El_atnBy","7_El_atpIn","7_Pr_atnBy","7_Pr_atpIn","8_T_atnBy","8_T_atpIn","8_NT_atnBy","8_NT_atpIn","8_El_atnBy","8_El_atpIn","8_Pr_atnBy","8_Pr_atpIn","9_T_atnBy","9_T_atpIn","9_NT_atnBy","9_NT_atpIn","9_El_atnBy","9_El_atpIn","9_Pr_atnBy","9_Pr_atpIn","10_T_atnBy","10_T_atpIn","10_NT_atnBy","10_NT_atpIn","10_El_atnBy","10_El_atpIn","10_Pr_atnBy","10_Pr_atpIn","1_El_nom","1_NT_nom","1_Pr_nom","1_T_nom","2_El_nom","2_NT_nom","2_Pr_nom","2_T_nom","3_El_nom","3_NT_nom","3_Pr_nom","3_T_nom","4_El_nom","4_NT_nom","4_Pr_nom","4_T_nom","5_El_nom","5_NT_nom","5_Pr_nom","5_T_nom","6_El_nom","6_NT_nom","6_Pr_nom","6_T_nom","1_El_mGPA","1_NT_mGPA","1_Pr_mGPA","1_T_mGPA","2_El_mGPA","2_NT_mGPA","2_Pr_mGPA","2_T_mGPA","3_El_mGPA","3_NT_mGPA","3_Pr_mGPA","3_T_mGPA","4_El_mGPA","4_NT_mGPA","4_Pr_mGPA","4_T_mGPA","5_El_mGPA","5_NT_mGPA","5_Pr_mGPA","5_T_mGPA","6_El_mGPA","6_NT_mGPA","6_Pr_mGPA","6_T_mGPA","7_El_mGPA","7_NT_mGPA","7_Pr_mGPA","7_T_mGPA","8_El_mGPA","8_NT_mGPA","8_Pr_mGPA","8_T_mGPA","9_El_mGPA","9_NT_mGPA","9_Pr_mGPA","9_T_mGPA","10_El_mGPA","10_NT_mGPA","10_Pr_mGPA","10_T_mGPA"
"1","Mænd","STX","2100","Øst for Storebæl",24,"2. ¯vrige",25315,7.4,1,"Danmark","Kbh.","A",6.5,"B",10,"A",9,2274,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2014-09-01,2015-07-31,"bachelor",2014,2,"BSc2014",0,5,10,10,0,0,15,15,0,5,10,5,0,0,15,15,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,NA,10,10,0,NA,2.5,2.5,-1.5,NA,2.5,2.5,-1.5,NA,2.5,2.5,-1.5,NA,2.5,2.5,-1.5,NA,2.5,2.5,-1.5,NA,2.5,2.5,-1.5,NA,2.5,2.5,-1.5,NA,2.5,2.5,-1.5,NA,2.5,2.5,-1.5
"2","Mænd","STX","7700","Sydjyl.til Århus",19,"1.prio",25317,4.5,1,"Danmark","Aalborg","A",5,"B",8,"A",5,2463,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","6. BAC.","Norm Gnf.","Norm+ Gnf.","åben","Afsluttet",2014-09-01,2017-06-30,"bachelor",2014,6,"BSc2014",5,5,10,10,0,0,15,15,15,10,15,5,0,0,30,15,20,10,20,5,0,0,45,15,30,15,25,5,0,0,60,15,30,5,35,10,0,0,75,15,40,10,35,0,15,15,90,15,40,0,35,0,15,0,90,0,40,0,35,0,15,0,90,0,40,0,35,0,15,0,90,0,40,0,35,0,15,0,90,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,0,7,4,2,0,9.5,5.5,4.33333333333333,0,7.66666666666667,6,4,0,6.25,6.25,2.4,0,5.8,6.4,2.18181818181818,7,5.8,7.33333333333333,2.92307692307692,7,5.8,7.33333333333333,2.92307692307692,7,5.8,7.33333333333333,2.92307692307692,7,5.8,7.33333333333333,2.92307692307692,7,5.8,7.33333333333333,2.92307692307692
"3","Mænd","STX","2000","Øst for Storebæl",20,"1.prio",25315,7.3,1,"Danmark","Kbh.","A",6,"A",7,"A",5,2456,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","6. BAC.","Norm Gnf.","Norm+ Gnf.","åben","Afsluttet",2014-09-01,2017-06-30,"bachelor",2014,6,"BSc2014",5,5,10,10,0,0,15,15,15,10,15,5,0,0,30,15,25,10,15,5,0,0,45,15,35,10,25,10,0,0,60,15,40,5,25,5,0,0,75,15,40,0,30,5,15,15,90,15,40,0,35,5,15,0,90,0,40,0,35,0,15,0,90,0,40,0,35,0,15,0,90,0,40,0,35,0,15,0,90,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,0,10,10,4,0,10,10,6,0,6.66666666666667,10,7.4,0,6.8,10,5.85714285714286,0,5.66666666666667,10,5.375,7,5.85714285714286,9.5,5.375,7,5.85714285714286,9.5,5.375,7,5.85714285714286,9.5,5.375,7,5.85714285714286,9.5,5.375,7,5.85714285714286,9.5,5.375
"4","Mænd","Udenlandsk adg.grundlag","3.00E+08","Ikke oplyst",19,"1.prio",25315,5.2,1,"Polen","Kbh.","B",2,"B",2,NA,NA,1651,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","2.Frafald > 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af institutionen",2012-09-01,2014-11-10,"bachelor",2012,5,"BSc2010",5,5,0,5,0,0,15,15,15,10,15,15,0,0,30,15,15,0,15,0,0,0,30,0,15,5,15,0,0,0,30,0,15,5,15,5,0,0,30,0,15,0,15,0,0,0,30,0,15,0,15,0,0,0,30,0,15,0,15,0,0,0,30,0,15,0,15,0,0,0,30,0,15,0,15,0,0,0,30,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,10,2,NA,7,10,4.66666666666667,NA,7,10,4.66666666666667,NA,7,10,2.25,NA,1,10,2.25,NA,1,10,2.25,NA,1,10,2.25,NA,1,10,2.25,NA,1,10,2.25,NA,1,10,2.25
"5","Kvinder","HHX","2100","Øst for Storebæl",19,"1.prio",25315,7.3,1,"Storbritannien","Kbh.","B",7,"A",9,"A",7.75,2381,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","5.Læser stadigt","Norm Aktiv","Norm+ Aktiv","åben","Indskrevet",2014-09-01,NA,"bachelor",2014,NA,"BSc2014",0,5,10,10,0,0,15,15,10,15,15,5,0,0,30,15,20,15,20,5,0,0,45,15,35,15,25,5,0,0,60,15,35,5,30,5,0,0,75,15,35,5,30,0,15,15,90,15,35,0,35,5,15,0,90,0,35,0,35,0,15,0,90,0,35,0,35,0,15,0,90,0,35,0,35,0,15,0,90,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,0,10,7,-3,0,6,8.5,0.6,0,6.33333333333333,9,0.875,0,5.75,9.25,1.66666666666667,0,5,9.8,1.53846153846154,7,5,10.1666666666667,1.42857142857143,7,5,10.1666666666667,1.42857142857143,7,5,10.1666666666667,1.42857142857143,7,5,10.1666666666667,1.42857142857143,7,5,10.1666666666667,1.42857142857143
"6","Mænd","Udenlandsk adg.grundlag","89486","Ikke oplyst",20,"1.prio",25317,6.5,1,"Litauen","Aalborg","B",2,"B",2,NA,NA,2279,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2014-09-01,2015-08-24,"bachelor",2014,2,"BSc2014",0,5,5,10,0,0,15,15,0,15,10,10,0,0,30,15,0,0,10,0,0,0,30,0,0,0,10,0,0,0,30,0,0,0,10,0,0,0,30,0,0,0,10,0,0,0,30,0,0,0,10,0,0,0,30,0,0,0,10,0,0,0,30,0,0,0,10,0,0,0,30,0,0,0,10,0,0,0,30,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,NA,4,2,-3,NA,2,3,-4,NA,2,3,-4,NA,2,3,-4,NA,2,3,-4,NA,2,3,-4,NA,2,3,-4,NA,2,3,-4,NA,2,3,-4,NA,2,3,-4
"7","Mænd","HTX","2750","Øst for Storebæl",20,"1.prio",25315,4.1,1,"Danmark","Kbh.","B",7,"A",3,"A",2,1635,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","2.Frafald > 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2012-09-01,2014-07-30,"bachelor",2012,4,"BSc2010",0,5,0,5,0,0,15,15,15,15,10,15,0,0,30,15,15,0,10,0,0,0,40,10,15,0,10,0,0,0,40,0,15,0,15,5,0,0,40,0,15,0,15,0,0,0,40,0,15,0,15,0,0,0,40,0,15,0,15,0,0,0,40,0,15,0,15,0,0,0,40,0,15,0,15,0,0,0,40,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,12,0,NA,4,9.5,1.33333333333333,NA,4,7.66666666666667,1.33333333333333,NA,4,7.66666666666667,1.33333333333333,NA,5.5,7.66666666666667,1.33333333333333,NA,5.5,7.66666666666667,1.33333333333333,NA,5.5,7.66666666666667,1.33333333333333,NA,5.5,7.66666666666667,1.33333333333333,NA,5.5,7.66666666666667,1.33333333333333,NA,5.5,7.66666666666667,1.33333333333333
"8","Kvinder","Udenlandsk adg.grundlag","80192","Ikke oplyst",21,"1.prio",25315,8.6,1,"Litauen","Kbh.","B",10,"B",7,NA,NA,2454,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","6. BAC.","Norm Gnf.","Norm+ Gnf.","åben","Afsluttet",2014-09-01,2017-06-30,"bachelor",2014,6,"BSc2014",0,5,10,10,0,0,15,15,5,15,15,5,0,0,30,15,20,20,20,5,0,0,45,15,35,15,25,5,0,0,60,15,35,5,30,5,0,0,75,15,40,5,30,0,15,15,90,15,40,0,35,5,15,0,90,0,40,0,35,0,15,0,90,0,40,0,35,0,15,0,90,0,40,0,35,0,15,0,90,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,0,10,7,-3,0,7,4.5,0.25,0,8,5.33333333333333,0.875,0,6.5,5,2.54545454545455,0,6.6,6,2.33333333333333,4.33333333333333,6.6,6.16666666666667,2.69230769230769,4.33333333333333,6.6,6.16666666666667,2.69230769230769,4.33333333333333,6.6,6.16666666666667,2.69230769230769,4.33333333333333,6.6,6.16666666666667,2.69230769230769,4.33333333333333,6.6,6.16666666666667,2.69230769230769
"9","Mænd","HF","6700","Sydjyl.til Århus",19,"1.prio",26520,3.7,1,"Danmark","Esbjerg","B",2,"B",2,NA,NA,1512,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","1.-2. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2012-09-01,2013-01-02,"bachelor",2012,1,"BSc2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Mænd","Udenlandsk adg.grundlag","3.00E+08","Ikke oplyst",20,"1.prio",25317,6.5,1,"Bulgarien","Aalborg","B",2,"B",2,NA,NA,1681,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","2.Frafald > 1 STÅ","Norm Aktiv","Norm+ Aktiv","afbrudt","Afbrudt af institutionen",2012-09-01,2016-10-31,"bachelor",2012,9,"BSc2010",5,5,10,10,0,0,10,10,10,10,10,5,0,0,25,15,10,5,15,10,0,0,35,10,15,25,25,10,0,0,50,15,15,5,30,10,0,0,65,15,25,20,35,10,0,0,65,0,25,0,40,5,0,0,65,0,25,10,40,0,0,0,65,0,25,0,40,0,0,0,65,0,25,0,40,0,0,0,65,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,4,10,4,NA,4,10,1.5,NA,4,8,1.5,NA,4,7,0,NA,3,8,0,NA,3,8,0.214285714285714,NA,3.33333333333333,8,0.214285714285714,NA,3.33333333333333,8,-0.4375,NA,3.33333333333333,8,-0.4375,NA,3.33333333333333,8,-0.4375
"11","Mænd","HTX","2670","Øst for Storebæl",21,"1.prio",25315,4.5,1,"Danmark","Kbh.","B",2,"A",4,"A",5,1643,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","2.Frafald > 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2012-09-01,2015-09-16,"bachelor",2012,7,"BSc2010",5,5,5,5,0,0,15,15,15,10,15,10,0,0,30,15,15,0,15,0,0,0,40,10,20,20,20,5,0,0,55,15,20,10,30,15,0,0,70,15,20,15,30,0,0,0,70,20,20,0,35,10,0,0,70,0,20,0,35,0,0,0,70,0,20,0,35,0,0,0,70,0,20,0,35,0,0,0,70,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,7,2,NA,7,5.5,3.33333333333333,NA,7,6,3.33333333333333,NA,7,4,0.5,NA,5.66666666666667,4.5,0.444444444444444,NA,5.66666666666667,2.75,0.333333333333333,NA,4.25,2.75,0.333333333333333,NA,4.25,2.75,0.333333333333333,NA,4.25,2.75,0.333333333333333,NA,4.25,2.75,0.333333333333333
"12","Mænd","HTX","9210","Nordjyll.",20,"1.prio",25317,5.8,1,"Danmark","Aalborg","B",7,"A",5,"A",4,1954,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af institutionen",2013-09-01,2014-09-29,"bachelor",2013,3,"BSc2010",0,0,0,0,0,0,15,15,10,10,5,10,0,0,30,15,15,5,10,10,0,0,30,0,15,0,10,0,0,0,30,0,15,0,10,0,0,0,30,0,15,0,10,0,0,0,30,0,15,0,10,0,0,0,30,0,15,0,10,0,0,0,30,0,15,0,10,0,0,0,30,0,15,0,10,0,0,0,30,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,0,2,0,NA,4,4.5,3,NA,2,4.5,3.33333333333333,NA,2,4.5,3.33333333333333,NA,2,4.5,3.33333333333333,NA,2,4.5,3.33333333333333,NA,2,4.5,3.33333333333333,NA,2,4.5,3.33333333333333,NA,2,4.5,3.33333333333333,NA,2,4.5,3.33333333333333
"13","Mænd","HTX","2635","Øst for Storebæl",21,"1.prio",25315,9.1,1,"Danmark","Kbh.","B",5.5,"A",12,"A",9,2198,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","6. BAC.","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2013-09-01,2016-08-23,"bachelor",2013,6,"BSc2010",5,5,5,5,0,0,15,15,15,10,10,5,0,0,30,15,20,5,20,15,0,0,40,10,30,15,30,10,0,0,55,15,35,10,40,10,0,0,70,15,45,10,45,5,0,0,90,20,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,10,4,NA,NA,8.5,3.33333333333333,NA,9.5,9,4.25,NA,9.5,9.75,3.16666666666667,NA,10.3333333333333,10.2,2.625,NA,10.3333333333333,10.1666666666667,2.9,NA,10.3333333333333,10.1666666666667,2.9,NA,10.3333333333333,10.1666666666667,2.9,NA,10.3333333333333,10.1666666666667,2.9,NA,10.3333333333333,10.1666666666667,2.9
"14","Mænd","HTX","2635","Øst for Storebæl",21,"1.prio",25315,9.1,1,"Danmark","Kbh.","B",5.5,"A",12,"A",9,494,2016,"Medieteknologi","Medialogi","Kandidatuddannelse - NAT Medialogi","NJM7014O","1. semester Medialogi","NJK77142","TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2016-09-01,2016-12-08,"kandidat",2016,1,"MSc2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000001,5,22.5,5,15.000001,10,41.25,5,15.000001,10,41.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Mænd","HTX","6440","Sydjyl.til Århus",20,"2. ¯vrige",26520,6.6,1,"Danmark","Esbjerg","B",7,"A",7.75,"A",7.75,1746,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","6. BAC.","Norm Aktiv","Norm+ Gnf.","afslutte","Afsluttet",2012-09-01,2016-06-29,"bachelor",2012,8,"BSc2010",5,5,10,10,0,0,10,10,15,10,15,5,0,0,25,15,20,5,20,5,0,0,25,10,25,15,25,5,0,0,50,25,30,5,40,15,0,0,65,15,30,15,45,5,0,0,85,20,30,0,45,0,0,0,85,0,45,15,45,0,0,0,85,0,45,0,45,0,0,0,85,0,45,0,45,0,0,0,85,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,4,12,7,NA,4,11,3.66666666666667,NA,4,7.33333333333333,3.66666666666667,NA,4,7.2,0.571428571428571,NA,8.66666666666667,7.16666666666667,0.75,NA,8.66666666666667,7.14285714285714,0.545454545454545,NA,8.66666666666667,7.14285714285714,0.545454545454545,NA,8.66666666666667,7.14285714285714,1,NA,8.66666666666667,7.14285714285714,1,NA,8.66666666666667,7.14285714285714,1
"16","Mænd","STX","3500","Øst for Storebæl",23,"1.prio",25315,2.8,1,"Danmark","Kbh.","B",2,"A",3.33333333333333,"A",1.33333333333333,1947,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af institutionen",2013-09-01,2014-09-29,"bachelor",2013,3,"BSc2010",5,5,5,5,0,0,15,15,5,10,5,5,0,0,15,15,5,0,5,5,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,2,2,NA,NA,-1.5,-2.66666666666667,NA,-5,-1.5,-2.66666666666667,NA,-5,-1.5,-2.66666666666667,NA,-5,-1.5,-2.66666666666667,NA,-5,-1.5,-2.66666666666667,NA,-5,-1.5,-2.66666666666667,NA,-5,-1.5,-2.66666666666667,NA,-5,-1.5,-2.66666666666667,NA,-5,-1.5,-2.66666666666667
"17","Mænd","Udenlandsk adg.grundlag","9000","Nordjyll.",20,"1.prio",25317,13,1,"Slovakiet","Aalborg","B",2,"B",2,NA,NA,2124,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","6. BAC.","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2013-09-01,2016-06-28,"bachelor",2013,6,"BSc2010",0,0,0,0,0,0,15,15,10,10,0,5,0,0,30,15,25,15,20,20,0,0,40,10,35,10,25,5,0,0,55,15,35,5,40,15,0,0,70,15,45,10,45,5,0,0,70,0,45,0,45,0,0,0,70,0,45,0,45,0,0,0,70,0,45,0,45,0,0,0,70,0,45,0,45,0,0,0,70,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,0,10,0,NA,NA,11,8,NA,7,11.3333333333333,8,NA,7,11.5,8,NA,8.66666666666667,11.6,6.85714285714286,NA,8.66666666666667,11.6,6.55555555555556,NA,8.66666666666667,11.6,6.55555555555556,NA,8.66666666666667,11.6,6.55555555555556,NA,8.66666666666667,11.6,6.55555555555556,NA,8.66666666666667,11.6,6.55555555555556
"18","Mænd","HF","2000","Øst for Storebæl",25,"1.prio",25315,6.6,1,"Danmark","Kbh.","A",5.5,"B",8,"A",5.5,535,2016,"Medieteknologi","Medialogi","Kandidatuddannelse - NAT Medialogi","NJM7014O","2.-4. semester Medialogi","DMR80142","TEK-NAT","","","","5.Læser stadigt","Norm Aktiv","Norm+ Aktiv","åben","Indskrevet",2016-09-01,NA,"kandidat",2016,NA,"MSc2011",0,0,0,5,5,5,15,15,0,0,5,10,5,10,30,15,5,5,5,0,5,0,30,0,5,0,5,0,5,0,30,0,5,0,5,0,5,0,30,0,5,0,5,0,5,0,30,0,5,0,5,0,5,0,30,0,5,0,5,0,5,0,30,0,5,0,5,0,5,0,30,0,5,0,5,0,5,0,30,0,5.000001,5,22.5,5,15.000001,10,41.25,5,15.000001,10,41.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,NA,0,10,0,-4,-0.666666666666667,11,0,-4,-0.666666666666667,11,4,-4,-0.666666666666667,11,4,-4,-0.666666666666667,11,4,-4,-0.666666666666667,11,4,-4,-0.666666666666667,11,4,-4,-0.666666666666667,11,4,-4,-0.666666666666667,11,4,-4,-0.666666666666667,11,4
"19","Mænd","HF","2000","Øst for Storebæl",25,"1.prio",25315,6.6,1,"Danmark","Kbh.","A",5.5,"B",8,"A",5.5,2162,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","6. BAC.","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2013-09-01,2016-07-01,"bachelor",2013,6,"BSc2010",0,5,5,5,0,0,15,15,15,15,15,10,0,0,30,15,15,0,25,15,0,0,40,10,35,20,30,5,0,0,55,15,35,5,40,10,0,0,70,15,45,10,45,5,0,0,90,20,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,10,-5,NA,7,8.5,3.5,NA,5.66666666666667,9,3.5,NA,5.66666666666667,9.75,3.375,NA,6,9.8,2.44444444444444,NA,6,10.1666666666667,3.27272727272727,NA,6,10.1666666666667,3.27272727272727,NA,6,10.1666666666667,3.27272727272727,NA,6,10.1666666666667,3.27272727272727,NA,6,10.1666666666667,3.27272727272727
"20","Mænd","STX","9220","Nordjyll.",20,"1.prio",25317,6.5,1,"Danmark","Aalborg","B",2,"A",5.5,"A",5,522,2016,"Medieteknologi","Medialogi","Kandidatuddannelse - NAT Medialogi","NJM7014O","2.-4. semester Medialogi","DMI80142","TEK-NAT","","","","5.Læser stadigt","Norm Aktiv","Norm+ Aktiv","åben","Indskrevet",2016-09-01,NA,"kandidat",2016,NA,"MSc2011",0,0,0,5,0,0,0,15,0,0,10,10,10,10,15,30,5,5,10,0,15,5,15,0,5,0,10,0,15,0,15,0,5,0,10,0,15,0,15,0,5,0,10,0,15,0,15,0,5,0,10,0,15,0,15,0,5,0,10,0,15,0,15,0,5,0,10,0,15,0,15,0,5,0,10,0,15,0,15,0,5.000001,5,22.5,5,15.000001,10,41.25,5,15.000001,10,41.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,0,0,0,0,12,5.33333333333333,0.333333333333333,0,12,5.33333333333333,0.333333333333333,4,12,5.33333333333333,0.333333333333333,4,12,5.33333333333333,0.333333333333333,4,12,5.33333333333333,0.333333333333333,4,12,5.33333333333333,0.333333333333333,4,12,5.33333333333333,0.333333333333333,4,12,5.33333333333333,0.333333333333333,4,12,5.33333333333333,0.333333333333333,4
